,title,author,publication date,format,current price,original price
866,The Legend of Aleister Crowley,Percy Stephensen,20 Sep 2021,Paperback,US$20.63,US$20.63
867,The Final Empire,Brandon Sanderson,01 Dec 2009,Paperback,US$17.76,US$17.76
868,The Alloy of Law,Brandon Sanderson,01 Nov 2012,Paperback,US$16.07,US$20.25
869,Outline,Rachel Cusk,20 Jun 2018,Paperback,US$11.26,US$12.24
870,First Little Readers: Guided Reading Level a (Parent Pack),Deborah Schecter,01 Oct 2010,Paperback,US$20.64,US$20.99
871,Anime Architecture,Stefan Riekeles,17 Nov 2020,Hardback,US$47.63,US$47.63
872,The Complete Poetry Of Edgar Allan Poe,Edgar Allan Poe,26 Nov 2009,Paperback,US$5.00,US$5.00
873,"Bob Books - Set 1: Beginning Readers Box Set Phonics, Ages 4 and Up, Kindergarten (Stage 1: Starting to Read)",John R Maslen,01 May 2006,Paperback,US$17.65,US$17.99
874,Bridgerton: When He Was Wicked (Bridgertons Book 6),Julia Quinn,11 Feb 2021,Paperback,US$10.12,US$12.24
875,How to Make the World Add Up,Tim Harford,06 May 2021,Paperback,US$19.27,US$19.27
876,"Don't Make Me Think, Revisited",Steve Krug,27 Jun 2014,Paperback,US$35.59,US$45.00
877,Kingdom of the Wicked,Kerri Maniscalco,26 Nov 2020,Hardback,US$21.59,US$21.59
878,The Silmarillion,J. R. R. Tolkien,01 Aug 2013,Paperback,US$12.19,US$17.75
879,Lolita,Vladimir Nabokov,16 Jun 2011,Paperback,US$20.10,US$20.50
880,The Wonderful Things You Will Be,Emily Winfield Martin,06 Aug 2020,Hardback,US$20.20,US$20.20
881,"Women, Race & Class",Angela Y. Davis,03 Oct 2019,Paperback,US$16.86,US$16.86
882,Dear Zoo,Rod Campbell,02 Jul 2010,Board book,US$10.07,US$10.07
883,The Qur'an,,29 Aug 2008,Paperback,US$11.12,US$12.95
884,Blackstone's EU Treaties & Legislation 2021-2022,,22 Sep 2021,Paperback,US$30.43,US$30.43
885,The BFG,Roald Dahl,16 Aug 2007,Paperback,US$7.96,US$7.99
886,Pygmalion,George Bernard Shaw,04 Feb 2003,Paperback,US$12.37,US$12.37
887,Roald Dahl: Whizzpopping Joke Book,Roald Dahl,02 Jun 2016,Paperback,US$7.68,US$8.16
888,Percy Jackson and the Last Olympian (Book 5),Rick Riordan,04 Jul 2013,Paperback,US$15.12,US$15.12
889,The Upside of Falling,Alex Light,15 Apr 2021,Paperback,US$10.42,US$10.99
890,Inside Out & Back Again,Thanhha Lai,02 Jan 2013,Paperback,US$9.28,US$9.28
891,"Predictably Irrational, Revised",Dr Dan Ariely,24 Jun 2011,Paperback,US$9.62,US$9.62
892,MEGAMONSTER,David Walliams,24 Jun 2021,Hardback,US$23.60,US$23.60
893,My Dark Vanessa,Kate Elizabeth Russell,21 Jan 2021,Paperback,US$15.00,US$15.00
894,The Chronicles of Narnia Box Set,C. S. Lewis,03 Jul 2014,Paperback,US$40.06,US$57.09
895,Royal Assassin,Robin Hobb,27 Mar 2014,Paperback,US$17.58,US$17.58
896,How to Catch a Star,Oliver Jeffers,03 May 2005,Paperback,US$10.58,US$12.50
897,Corrupt,Penelope Douglas,03 May 2005,Paperback,US$15.40,US$15.40
898,a la Mitad del Camino,Andres Manuel Lopez Obrador,12 Oct 2021,Paperback,US$20.94,US$20.94
899,Trono de cristal: Reino de cenizas,"Maas, Sarah J.",23 Mar 2021,Paperback,US$24.66,US$25.17
900,The Book of St. Brigid,Colm Keane,08 Sep 2021,Paperback,US$18.92,US$20.42
901,What Colour Is Your Parachute? 2021,Richard N. Bolles,22 Dec 2020,Paperback,US$17.44,US$19.99
902,"Yotsuba&!, Vol. 15",Kiyohiko Azuma,28 Sep 2021,Paperback,US$12.43,US$13.00
903,"One-Punch Man, Vol. 22",One,22 Jul 2021,Paperback,US$9.76,US$9.99
904,"One-Punch Man, Vol. 23",ONE,28 Oct 2021,Paperback,US$11.07,US$11.07
905,Sensor,Junji Ito,30 Sep 2021,Hardback,US$20.51,US$20.51
906,"BEASTARS, Vol. 14",Paru Itagaki,14 Oct 2021,Paperback,US$12.63,US$12.99
907,Maybe,Kobi Yamada,15 Sep 2019,Hardback,US$19.10,US$19.10
908,"Let's Talk About Body Boundaries, Consent and Respect",Jayneen Sanders,10 Nov 2017,Paperback,US$14.41,US$14.41
909,Guinness World Records 2022,,14 Sep 2021,Hardback,US$35.51,US$35.51
910,Modern Witch Tarot,Lisa Sterle,19 Nov 2019,Cards,US$26.95,US$26.95
911,The Land of Stories: The Wishing Spell,Chris Colfer,06 Jun 2013,Paperback,US$14.14,US$14.14
912,The Power of Habit,Charles Duhigg,12 Dec 2013,Paperback,US$18.71,US$18.71
913,Normal Sheeple,Ross O'Carroll-Kelly,19 Aug 2021,Paperback,US$19.91,US$19.91
914,The Gulag Archipelago,Aleksandr Solzhenitsyn,30 Jan 2003,Paperback,US$22.93,US$26.88
915,Rebecca,Daphne Du Maurier,30 Jan 2003,Paperback,US$17.58,US$17.58
916,Liz Climo 2022 Daily Calendar,Liz Climo,19 Aug 2021,Calendar,US$16.60,US$16.60
917,Old Ireland in Colour 2,John Breslin,08 Sep 2021,Hardback,US$33.51,US$39.95
918,When Breath Becomes Air,Paul Kalanithi,05 Jan 2017,Paperback,US$14.37,US$14.37
919,The Proudest Blue,Ibtihaj Muhammad,07 May 2020,Paperback,US$14.07,US$14.07
920,Disney Princess Beginnings: 10 Magical Chapter Books,,01 Aug 2021,Paperback,US$39.12,US$39.12
921,SPSS Survival Manual,Julie Pallant,03 Mar 2020,Paperback,US$49.34,US$49.34
922,Self-Love Workbook for Women,Megan Logan,29 Sep 2020,Paperback,US$17.66,US$17.66
923,Vinland Saga 12,Makoto Yukimura,26 Oct 2021,Hardback,US$20.58,US$22.99
924,Witch Hat Atelier 8,Kamome Shirahama,28 Sep 2021,Paperback,US$12.99,US$12.99
925,Rent-A-Girlfriend 8,Reiji Miyajima,21 Sep 2021,Paperback,US$11.86,US$12.99
926,Witch Hat Atelier 1,Kamome Shirahama,09 Apr 2019,Paperback,US$13.41,US$13.41
927,Accessing the Healing Power of the Vagus Nerve,Stanley Rosenbery,09 Apr 2018,Paperback,US$22.53,US$25.95
928,It's OK That You're Not OK,Megan Devine,01 Oct 2017,Paperback,US$16.50,US$16.95
929,A Smart Girl's Guide: Friendship Troubles,Patti Kelley Criswell,01 Aug 2013,Paperback,US$12.19,US$12.99
930,We Free the Stars,Hafsah Faizal,18 Mar 2021,Paperback,US$16.04,US$16.04
931,All Are Welcome,Alexandra Penfold,24 Jan 2019,Paperback,US$12.46,US$12.46
932,Disney Princess Beginnings: 10 Magical Chapter Books,,01 Aug 2021,Paperback,US$39.12,US$39.12
933,How Emotions Are Made,Lisa Feldman Barrett,08 Feb 2018,Paperback,US$15.38,US$15.38
934,Home Stretch,Graham Norton,29 Apr 2021,Paperback,US$15.78,US$15.78
935,The State Of Affairs,Esther Perel,03 Oct 2019,Paperback,US$13.76,US$13.76
936,Reaper Man,Terry Pratchett,13 Nov 2013,Hardback,US$23.27,US$24.99
937,Redemptor,Hot Key Books,17 Aug 2021,Paperback,US$10.68,US$12.24
938,Clap When You Land,Elizabeth Acevedo,26 May 2020,Paperback,US$13.17,US$13.17
939,The Sun and Her Flowers,Rupi Kaur,03 Oct 2017,Paperback,US$15.77,US$17.69
940,The 5 Am Club,Robin Sharma,07 Jan 2020,Paperback,US$15.25,US$17.99
941,Unofficial Harry Potter Cookbook,Dinah Bucholz,18 Sep 2010,Hardback,US$21.16,US$21.16
942,Gentle and Lowly,Dane C. Ortlund,07 Apr 2020,Hardback,US$19.33,US$19.99
943,"One-Punch Man, Vol. 2",One,01 Feb 2016,Paperback,US$20.55,US$20.55
944,"Hunter x Hunter, Vol. 7",Yoshihiro Togashi,22 Sep 2016,Paperback,US$10.31,US$10.31
945,In My Heart,Jo Witek,14 Oct 2014,Hardback,US$17.85,US$17.85
946,The Two Lost Mountains,Matthew Reilly,22 Jul 2021,Paperback,US$11.41,US$12.24
947,Harry Potter and the Deathly Hallows,J.K. ROWLING,01 Sep 2014,Paperback,US$14.27,US$14.27
948,The Whale Who Wanted More,Rachel Bright,05 Aug 2021,Paperback,US$10.31,US$10.31
949,The Koala Who Could Board Book,Rachel Bright,08 Mar 2018,Board book,US$9.60,US$9.60
950,Zog and the Flying Doctors,Julia Donaldson,07 Sep 2017,Paperback,US$15.16,US$15.16
951,Minecraft Joke Book,Mojang AB,08 Aug 2019,Paperback,US$13.37,US$13.37
952,Archetype Cards,Caroline Myss,09 Nov 2020,Cards,US$20.98,US$24.99
953,Skin in the Game,Jane Wurwand,10 Dec 2021,Hardback,US$25.05,US$27.99
954,"The Invisible Life of Addie Larue, Special Edition",V E Schwab,05 Oct 2021,Hardback,US$26.84,US$29.99
955,Lakesedge,Lyndall Clipstone,28 Sep 2021,Hardback,US$21.16,US$21.16
956,Daughter of the Siren Queen,Tricia Levenseller,26 Feb 2019,Paperback,US$13.16,US$13.16
957,The Bitcoin Standard,Saifedean Ammous,08 Jun 2018,Hardback,US$23.00,US$29.95
958,Lonely Castle in the Mirror,Mizuki Tsujimura,22 Apr 2021,Paperback,US$20.95,US$20.95
959,Essentialism,Greg McKeown,07 Jan 2021,Paperback,US$15.65,US$15.65
960,Lakesedge,Lyndall Clipstone,28 Sep 2021,Hardback,US$21.16,US$21.16
961,Daughter of the Siren Queen,Tricia Levenseller,26 Feb 2019,Paperback,US$13.16,US$13.16
962,The Bitcoin Standard,Saifedean Ammous,08 Jun 2018,Hardback,US$23.00,US$29.95
963,Holy Women of Great Perfection,Dangsong Namgyal,04 Jul 2021,Paperback,US$19.99,US$19.99
964,Lonely Castle in the Mirror,Mizuki Tsujimura,22 Apr 2021,Paperback,US$20.95,US$20.95
965,Essentialism,Greg McKeown,07 Jan 2021,Paperback,US$15.65,US$15.65
966,Awaken The Giant Within,Tony Robbins,02 Jan 2001,Paperback,US$20.47,US$20.47
967,See Inside How Things Work,Conrad Mason,02 Oct 2009,Board book,US$18.46,US$18.46
968,Create This Book,Moriah Elizaberh,17 May 2015,Paperback,US$18.91,US$18.91
969,Are You My Mother?,P.D. Eastman,08 Sep 1998,Board book,US$5.62,US$5.62
970,The Genius of Jesus,Erwin Raphael McManus,14 Sep 2021,Hardback,US$20.66,US$24.00
971,A Little Hatred,Joe Abercrombie,14 May 2020,Paperback,US$11.94,US$12.24
972,Rivers of London,Ben Aaronovitch,08 Sep 2011,Paperback,US$18.83,US$18.83
973,"Philadelphia, Here I Come",Brian Friel,01 Mar 1994,Paperback,US$10.88,US$16.00
974,"Anne of Green Gables, Complete 8-Book Box Set",L. M. Montgomery,06 Oct 1998,Paperback,US$45.70,US$47.92
975,Bobby Fischer Teaches Chess,Bobby Fischer,01 Oct 1992,Paperback,US$8.25,US$8.99
976,On All Fronts,Clarissa Ward,09 Sep 2021,Paperback,US$16.78,US$18.00
977,Romeo and Juliet,William Shakespeare,01 Jul 1993,Paperback,US$3.39,US$3.39
978,Bridgerton: The Duke and I (Bridgertons Book 1),Julia Quinn,04 Feb 2021,Paperback,US$15.47,US$15.47
979,Wabi Sabi,Beth Kempton,30 Aug 2018,Hardback,US$18.38,US$18.38
980,The Bridgerton Collection: Books 1 - 4,Julia Quinn,15 Apr 2021,Paperback,US$46.75,US$48.97
981,There's No Such Thing As 'Naughty',Kate Silverton,29 Apr 2021,Paperback,US$23.17,US$23.17
982,Shantaram,Gregory David Roberts,01 Apr 2005,Paperback,US$20.43,US$20.43
983,Agent Sonya,Ben Macintyre,27 May 2021,Paperback,US$15.91,US$15.91
984,The Extremely Embarrassing Life of Lottie Brooks,Katie Kirby,18 Mar 2021,Paperback,US$10.11,US$10.11
985,Games People Play,Eric Berne,21 Jul 2016,Paperback,US$14.52,US$14.52
986,The Gruffalo Little Library,Julia Donaldson,05 Jan 2012,Board book,US$9.90,US$11.00
987,Oxford Handbook of Clinical Medicine,Ian B. Wilkinson,27 Sep 2017,Paperback,US$45.44,US$45.44
988,The Borrowers,Mary Norton,01 Apr 2003,Paperback,US$7.99,US$7.99
989,Aroha,Hinemoa Elder,29 Sep 2020,Hardback,US$28.64,US$28.64
990,We Have Always Lived in the Castle,Shirley Jackson,28 Nov 2006,Paperback,US$24.41,US$24.41
991,Twelve Angry Men,Reginald Rose,14 Jul 2011,Paperback,US$11.06,US$14.00
992,Percy Jackson and the Battle of the Labyrinth (Book 4),Rick Riordan,04 Jul 2013,Paperback,US$9.47,US$9.52
993,Once,Morris Gleitzman,23 Feb 2006,Paperback,US$13.36,US$15.50
994,We Have Always Lived in the Castle,Shirley Jackson,01 Oct 2009,Paperback,US$16.30,US$19.75
995,A New Earth,Eckhart Tolle,01 Mar 2009,Paperback,US$19.56,US$19.75
996,The Corfu Trilogy,Gerald Durrell,20 Jun 2011,Paperback,US$21.18,US$23.72
997,The Night Circus,Erin Morgenstern,24 May 2012,Paperback,US$13.05,US$15.75
998,Brave New World,Aldous Huxley,07 Jun 2011,Paperback,US$15.01,US$15.01
999,"Guns, Germs and Steel",Jared Diamond,26 Apr 2000,Paperback,US$16.48,US$22.00
1000,Kafka on the Shore,Haruki Murakami,06 Oct 2005,Paperback,US$13.64,US$13.64
1001,"How to Make Money in Stocks: A Winning System in Good Times and Bad, Fourth Edition",William O'Neil,01 Jul 2020,Paperback,US$20.45,US$22.00
1002,The Dressmakers of Auschwitz,Lucy Adlington,14 Sep 2021,Paperback,US$16.03,US$17.99
1003,"One: Pot, Pan, Planet",Anna Jones,04 Mar 2021,Hardback,US$37.48,US$37.48
1004,The Monk Who Sold His Ferrari,Robin Sharma,17 Dec 2011,Paperback,US$9.26,US$9.70
1005,Billionaire Boy,David Walliams,09 Jun 2011,Paperback,US$14.90,US$16.00
1006,Plants for Your Food Forest,Plants for a Future,15 Jun 2021,Paperback,US$27.35,US$27.35
1007,Legendary (Caraval 2),Stephanie Garber,28 Sep 2021,Paperback,US$16.54,US$17.95
1008,"Star Wars: The High Republic: Edge of Balance, Vol. 1",Shima Shinya,14 Oct 2021,Paperback,US$13.92,US$14.99
1009,"The Promised Neverland, Vol. 20",Kaiu Shirai,16 Sep 2021,Paperback,US$13.92,US$14.99
1010,"My Hero Academia, Vol. 28",Kohei Horikoshi,24 Jun 2021,Paperback,US$10.31,US$10.31
1011,"Blue Flag, Vol. 8",KAITO,22 Jul 2021,Paperback,US$13.41,US$13.41
1012,The Magdalen Manuscript: The Alchemies of Horus & the Sex Magic of Isis,Tom Kenyon,01 Jan 2002,Paperback,US$21.81,US$21.81
1013,The Good Life,Hannah Moloney,31 Aug 2021,Paperback,US$49.07,US$49.07
1014,Come as You Are,Dr Emily Nagoski,22 Sep 2015,Paperback,US$23.63,US$23.63
1015,The Labyrinth,Amanda Lohrey,04 Aug 2020,Paperback,US$30.72,US$30.72
1016,A Dowry of Blood,S T Gibson,31 Jan 2021,Paperback,US$12.77,US$12.77
1017,"The Good Enough Parent: How to raise contented, interesting and resilient children",The School of Life,19 Apr 2022,Hardback,US$19.57,US$19.99
1018,Maybe You Should Talk to Someone,Lori Gottlieb,09 May 2019,Paperback,US$21.31,US$23.13
1019,A Woman to Blame,Nell McCafferty,01 Jun 2010,Paperback,US$13.81,US$13.81
