,title,author,publication date,format,current price,original price
238,The Intelligent Investor,Benjamin Graham,23 Oct 2003,Paperback,US$23.10,US$24.99
239,Harry Potter y la cámara secreta (Ed. Minalima),J.K. Rowling,28 Oct 2021,Hardback,US$33.47,US$37.40
240,"Jujutsu Kaisen, Vol. 11",Gege Akutami,16 Sep 2021,Paperback,US$33.47,US$37.40
241,"Chainsaw Man, Vol. 6",Tatsuki Fujimoto,14 Oct 2021,Paperback,US$8.94,US$9.99
242,Women Don't Owe You Pretty,Florence Given,18 Jul 2020,Hardback,US$19.00,US$19.00
243,Invisible Women,Caroline Criado Perez,05 Mar 2020,Paperback,US$13.44,US$13.60
244,Think and Grow Rich,Napoleon Hill,01 Sep 2005,Paperback,US$10.24,US$10.24
245,A Court of Frost and Starlight,Sarah J. Maas,05 Jun 2020,Paperback,US$13.07,US$13.07
246,The Montessori Baby,Simone Davies,11 May 2021,Paperback,US$18.87,US$19.95
247,A Man Called Ove,Fredrik Backman,07 May 2015,Paperback,US$9.77,US$12.24
248,There Was an Old Lady Who Swallowed a Fly,,01 Dec 2000,Board book,US$7.12,US$7.12
249,Troubled Blood,Robert Galbraith,24 Jun 2021,Paperback,US$15.78,US$15.78
250,One Of Us Is Next,Karen M. McManus,09 Jan 2020,Paperback,US$11.20,US$11.20
251,Quiet,Susan Cain,31 Oct 2018,Paperback,US$12.96,US$20.25
252,Meditations,Marcus Aurelius,17 Nov 2015,Paperback,US$10.03,US$11.00
253,The Subtle Art of Not Giving a F*ck,Mark Manson,17 Nov 2016,Hardback,US$21.45,US$26.99
254,Foundation,Isaac Asimov,22 Sep 2016,Paperback,US$12.52,US$12.52
255,The Art of War,Sun Tzu,14 Oct 2011,Paperback,US$7.25,US$7.25
256,The Hebridean Baker,Coinneach MacLeod,15 Oct 2021,Hardback,US$26.95,US$27.23
257,The Promise,Damon Galgut,17 Jun 2021,Paperback,US$19.82,US$19.82
258,The Mistake,Elle Kennedy,28 Apr 2015,Paperback,US$14.23,US$15.00
259,Med,Claudia Roden,02 Sep 2021,Hardback,US$40.53,US$40.53
260,To Kill a Kingdom,Alexandra Christo,06 Mar 2018,Paperback,US$14.28,US$14.28
261,The Girl Who Never Made Mistakes,Gary Rubinstein,04 Nov 2011,Hardback,US$17.96,US$17.96
262,Minecraft Annual 2022,Mojang AB,02 Sep 2021,Hardback,US$13.62,US$13.62
263,The Rabbit Listened,Cori Doerrfeld,20 Feb 2018,Hardback,US$30.21,US$30.21
264,Hokusai: The Great Picture Book of Everything,Timothy Clark,30 Sep 2021,Hardback,US$33.56,US$37.50
265,The Everyday Hero Manifesto,Robin Sharma,07 Sep 2021,Paperback,US$23.54,US$23.54
266,This Book Is for You,Worry Lines,12 Oct 2021,Hardback,US$17.56,US$17.56
267,The Only Study Guide You'll Ever Need,Jade Bowler,05 Aug 2021,Paperback,US$15.95,US$20.41
268,The Obstacle is the Way,Ryan Holiday,31 Oct 2018,Paperback,US$11.07,US$13.60
269,Burnout,Gordon Parker,02 Jul 2021,Paperback,US$33.65,US$33.65
270,Attack On Titan Season 1 Part 1 Manga Box Set,Hajime Isayama,07 Feb 2020,Paperback,US$41.30,US$43.96
271,The Hero with a Thousand Faces,Joseph Campbell,01 Feb 2016,Hardback,US$22.18,US$24.95
272,Shoe Dog,Phil Knight,03 May 2018,Paperback,US$15.06,US$15.06
273,The 13-Storey Treehouse,Andy Griffiths,20 Mar 2015,Paperback,US$6.54,US$9.52
274,Look Inside Space,Rob Lloyd Jones,29 Nov 2012,Board book,US$15.84,US$15.84
275,Humankind,Rutger Bregman,13 May 2021,Paperback,US$14.97,US$14.97
276,The Salt Path,Raynor Winn,31 Jan 2019,Paperback,US$12.57,US$13.60
277,Peter Darling,Austin Chant,01 Jun 2021,Paperback,US$13.23,US$13.23
278,Meditations,Marcus Aurelius,06 Feb 2019,Paperback,US$10.79,US$11.00
279,The Lean Startup,Eric Ries,13 Oct 2011,Paperback,US$20.65,US$20.65
280,Leaders Eat Last,Simon Sinek,12 Jul 2017,Paperback,US$15.49,US$15.49
281,Everything I Never Told You,Celeste Ng,13 Nov 2014,Paperback,US$9.99,US$12.24
282,First 100 Words,Roger Priddy,10 May 2011,Board book,US$7.34,US$7.34
283,Dinosaurs Love Underpants,Claire Freedman,05 Jun 2008,Paperback,US$12.51,US$12.51
284,How to Talk so Kids Will Listen and Listen so Kids Will Talk,Adele Faber,05 Dec 2012,Paperback,US$17.48,US$29.25
285,Ikigai,Héctor García,07 Sep 2017,Hardback,US$19.45,US$19.45
