,title,author,current price
942,Gentle and Lowly,Dane C. Ortlund,19.33
946,The Two Lost Mountains,Matthew Reilly,11.41
948,The Whale Who Wanted More,Rachel Bright,10.31
951,Minecraft Joke Book,Mojang AB,13.37
952,Archetype Cards,Caroline Myss,20.98
953,Skin in the Game,Jane Wurwand,25.05
954,"The Invisible Life of Addie Larue, Special Edition",V E Schwab,26.84
955,Lakesedge,Lyndall Clipstone,21.16
956,Daughter of the Siren Queen,Tricia Levenseller,13.16
958,Lonely Castle in the Mirror,Mizuki Tsujimura,20.95
959,Essentialism,Greg McKeown,15.65
963,Holy Women of Great Perfection,Dangsong Namgyal,19.99
970,The Genius of Jesus,Erwin Raphael McManus,20.66
971,A Little Hatred,Joe Abercrombie,11.94
976,On All Fronts,Clarissa Ward,16.78
978,Bridgerton: The Duke and I (Bridgertons Book 1),Julia Quinn,15.47
980,The Bridgerton Collection: Books 1 - 4,Julia Quinn,46.75
981,There's No Such Thing As 'Naughty',Kate Silverton,23.17
983,Agent Sonya,Ben Macintyre,15.91
984,The Extremely Embarrassing Life of Lottie Brooks,Katie Kirby,10.11
